geoid,supply
17031802002,0
17031802003,0
17031802004,0
17031802100,12
17031802200,3
17031802300,24
17031802402,7
17031802403,1
17031802404,2
17031802503,2
17031802504,1
17031802505,0
17031802506,1
17031802605,1
17031802607,0
17031802608,1
17031802609,0
17031802610,0
17031802701,0
17031802702,8
17031802801,5
17031802802,2
17031802900,17
17031803005,14
17031803007,2
17031803008,2
17031803010,4
17031803012,0
17031803013,1
17031803014,0
17031803015,0
17031803016,0
17031803017,8
17031803100,15
17031803200,1
17031803300,1
17031803400,1
17031803500,35
17031803603,0
17031803604,2
17031803605,2
17031803606,3
17031803607,0
17031803608,0
17031803610,0
17031803611,0
17031803612,0
17031803701,1
17031803702,1
17031803800,3
17031803901,1
17031803902,0
17031804000,0
17031804102,1
17031804104,0
17031804105,0
17031804106,1
17031804108,1
17031804109,1
17031804201,7
17031804202,2
17031804305,2
17031804306,1
17031804308,1
17031804309,0
17031804310,3
17031804311,0
17031804403,1
17031804404,2
17031804405,0
17031804406,0
17031804505,6
17031804506,0
17031804507,0
17031804508,1
17031804509,0
17031804510,2
17031804511,1
17031804603,21
17031804606,2
17031804607,0
17031804608,0
17031804609,2
17031804610,3
17031804611,8
17031804701,54
17031804705,0
17031804706,4
17031804709,2
17031804710,0
17031804711,0
17031804712,0
17031804713,0
17031804714,1
17031804715,0
17031804716,0
17031804803,1
17031804804,3
17031804805,2
17031804806,0
17031804807,1
17031804808,0
17031804809,3
17031804810,10
17031804901,8
17031804902,0
17031805001,1
17031805002,5
17031805105,6
17031805106,5
17031805107,12
17031805108,3
17031805109,1
17031805110,2
17031805111,6
17031805112,1
17031805201,0
17031805202,0
17031805301,0
17031805302,0
17031805401,6
17031805402,13
17031805501,0
17031805502,9
17031805600,3
17031805701,0
17031805702,0
17031805801,0
17031805802,6
17031805901,5
17031805902,71
17031806001,5
17031806002,5
17031806003,22
17031806004,5
17031806102,10
17031806103,3
17031806104,14
17031806201,9
17031806202,9
17031806300,0
17031806400,5
17031806501,0
17031806502,0
17031806600,1
17031806700,2
17031806801,37
17031806802,0
17031806900,27
17031807000,1
17031807100,0
17031807200,1
17031807300,15
17031807400,4
17031807500,5
17031807600,1
17031807700,0
17031807800,1
17031807900,1
17031808001,19
17031808002,5
17031808100,3
17031808200,0
17031808301,6
17031808302,4
17031808400,8
17031808500,0
17031808600,0
17031808702,7
17031808800,46
17031808900,0
17031809000,3
17031809100,0
17031809200,0
17031809300,27
17031809400,13
17031809500,5
17031809600,0
17031809700,1
17031809800,0
17031809900,0
17031810000,0
17031810100,4
17031810200,55
17031810301,5
17031810302,1
17031810400,1
17031810501,1
17031810502,0
17031810600,1
17031810701,0
17031810702,3
17031810800,1
17031810900,8
17031811000,5
17031811100,1
17031811200,4
17031811301,0
17031811302,27
17031811401,2
17031811402,7
17031811500,1
17031811600,2
17031811701,1
17031811702,0
17031811800,0
17031811900,8
17031812000,10
17031812100,0
17031812200,8
17031812301,20
17031812302,2
17031812400,6
17031812500,53
17031812600,0
17031812700,0
17031812801,1
17031812802,0
17031812900,24
17031813000,2
17031813100,6
17031813200,3
17031813301,0
17031813302,0
17031813400,0
17031813500,0
17031813600,2
17031813701,0
17031813702,1
17031813801,3
17031813802,0
17031813900,5
17031814000,0
17031814100,0
17031814200,0
17031814300,2
17031814400,1
17031814500,0
17031814600,0
17031814700,0
17031814800,7
17031814900,6
17031815000,2
17031815100,5
17031815200,0
17031815300,0
17031815400,37
17031815500,1
17031815600,4
17031815701,12
17031815702,2
17031815800,0
17031815900,3
17031816000,2
17031816100,13
17031816200,2
17031816300,3
17031816401,2
17031816402,36
17031816500,0
17031816600,0
17031816700,0
17031816800,1
17031816900,0
17031817000,0
17031817101,0
17031817102,1
17031817200,1
17031817300,0
17031817400,0
17031817500,4
17031817600,65
17031817700,8
17031817900,22
17031818000,0
17031818100,0
17031818200,6
17031818300,0
17031818401,2
17031818402,0
17031818500,11
17031818600,1
17031818700,2
17031818800,7
17031818900,8
17031819000,1
17031819100,0
17031819200,0
17031819300,1
17031819400,0
17031819500,3
17031819600,2
17031819700,3
17031819801,3
17031819802,2
17031819900,1
17031820000,0
17031820101,9
17031820103,29
17031820104,3
17031820201,6
17031820202,1
17031820300,1
17031820400,4
17031820501,0
17031820502,2
17031820603,0
